record_id,qid,asin,category,source_file,question,question_type,answerability,candidate_answers,golden_answer,evidence_text,evidence_doc_id,selection_method,needs_judge,golden_id
REC_011,225688,B00CVK49LI,Electronics,train,How can I order this case in Italy? Help me please.,descriptive,0,"[{'text': 'Sorry, no reseller in Italy yet, we do sell on Amazon UK / FR', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'I am sorry, but I do not know how to ship a package internationally. Also, it would be an expensive shipping fee that you would be responsible for. Thanks for your interest!', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","Sorry, no reseller in Italy yet, we do sell on Amazon UK / FR",,,jeffreys,True,G_011
REC_012,89799,B0045ZZKOM,Electronics,train,Will this work with a D3200??,descriptive,0,"[{'text': ""Hi Monica, it will work fine with the D3200. See the specs on Nikon's website http://imaging.nikon.com/lineup/speedlights/compatibility.htm"", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes,  a friend of mine uses it with her D3200.  It is a very good flash.  I liked the performance of hers so much I am ordering one for my D3200.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","Hi Monica, it will work fine with the D3200. See the specs on Nikon's website http://imaging.nikon.com/lineup/speedlights/compatibility.htm","Just used this today. Perfect results. Good power, though not Nikon's most powerful. It will be fine for most situations.",KB_00116,grounded_pick,True,G_012
REC_013,374900,B007KMFXZ8,Electronics,train,how to add a new genre,descriptive,0,"[{'text': 'genre?  Not sure what you want to know ...', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Do you mean a Joey?', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",genre?  Not sure what you want to know ...,,,jeffreys,True,G_013
REC_014,738066,B00009R95W,Electronics,train,Difference between Hoya 58CIR or Hoya HMC ? Trying to decide between the regular Hoya Circular Polaraizing Filter or the HMC. Does the more expensive HMC give that much better results to justify the price?,descriptive,0,"[{'text': 'Yes it does.  I would never consider using a non-multi-coated filter on a digital camera.  The reason is simple.  The sensor has a flat glass protecting it (called a low-pass filter - LPF).  Some light will bounce off the LPF and head out the lens.  Since lens elements are multi-coated and curved, very little light will reflect back to the sensor.  But since the front filter IS flat, you can get a lot of light bouncing back.  If you use a non-coated, or single-coated filter, you get a lot of light reflected back into the sensor.  This shows up as a loss of contrast (veiling flair) or as ghosts and hot spots.  Multi-coated filters are designed to reduce this effect, but cannot eliminate it.  This is a real problem when you shoot into a light source.When shooing into a light, ANY filter will degrade the image.  Multi-coated filters are much better, though.', 'helpful': 16, 'unhelpful': 0, 'total': 16, 'jeffreys': 0.9705882352941176}, {'text': ""Thank you, Ken. I'm new to digital photography. I'm grateful for folks like you who take the time to answer an amateur's question in such explanatory detail and depth.Billie"", 'helpful': 5, 'unhelpful': 0, 'total': 5, 'jeffreys': 0.9166666666666666}]","Yes it does.  I would never consider using a non-multi-coated filter on a digital camera.  The reason is simple.  The sensor has a flat glass protecting it (called a low-pass filter - LPF).  Some light will bounce off the LPF and head out the lens.  Since lens elements are multi-coated and curved, very little light will reflect back to the sensor.  But since the front filter IS flat, you can get a lot of light bouncing back.  If you use a non-coated, or single-coated filter, you get a lot of light reflected back into the sensor.  This shows up as a loss of contrast (veiling flair) or as ghosts and hot spots.  Multi-coated filters are designed to reduce this effect, but cannot eliminate it.  This is a real problem when you shoot into a light source.When shooing into a light, ANY filter will degrade the image.  Multi-coated filters are much better, though.","I bought the little waterproof Nikon camera, and it came with an attachment for filters. I never would have dreamed of being able to attach filters to a point and shoot. . . But I ordered the polarizer as soon as I found out, we took it to Hawaii, and put it to work. We took some with it on the camera and some without, when the situation really calls for it, it definitely makes a huge difference.",KB_00132,grounded_pick,False,G_014
REC_015,466443,B008A4H67I,Electronics,train,"Is this compatible with the new dell inspiron 11 3000 series, the 2-in-1?",descriptive,0,"[{'text': 'Yes, it should be. I have a new Dell Inspiron and it works for me. The lock spots are pretty much universal.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""It should be.  I am using a Dell Alienware 14 and the port is a perfect match.  If you have a weird oval shaped hole (approx 1.4 inch) on the side but isn't a port then it will fit that's what mine looks like on the rear left side of the laptop."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","Yes, it should be. I have a new Dell Inspiron and it works for me. The lock spots are pretty much universal.","So, the instructions are BACKWARDS. Like, part of the instructions say to twist something clockwise. Ergo, you should twist it COUNTER-CLOCKWISE!Other than that, I like this product. The color is cute (and matches my laptop) and the lock seems to work well.",KB_00137,grounded_pick,True,G_015
REC_016,401029,B004R7A9NU,Electronics,train,does it work for ipad 4,yesno,1,"[{'text': 'The case I purchased was for the iPad mini.  This listing appears to make the option available for the full size screen, which I do not own.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes it does indeed! I have the ipad 4 and its fits it perfectly', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'I recently purchased the same item. It worked well. In fact, I had purchased an even more expensive unit. But when I received my CaseCrown unit I compared the two. I put away the more the more expensive unit and opted to use the CaseCrown product.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'I think the iPad4 is the same dementions so the only question is where the cutouts are.  There is one on the middle of one side for the on tab, another on the bottom right for the volume, middle right and top right.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes, I bought it for my iPad 4.  It is perfect.  It has all the correct openings for the features on your iPad.  Holes for speakers, openings for power switch and volume switch.  Arched grooves for the home button and the Skype viewer (camera).  On the back of the cover it has a cut out for your camera lens.  Hope this information helps!', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'If the dimensions are same yes... thus case fits up to 10 in. Tablets, it fit perfectly on my iPad. 2', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""I don't see why not as long as you buy the right size."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'I have the latest Ipad 4 and it works great.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","The case I purchased was for the iPad mini.  This listing appears to make the option available for the full size screen, which I do not own.","The sleep / awake funtion on this case does not work for the new iPad. So, 1 star for using this with the iPad 3 but 4 stars for using it with the iPad 2 (sleep awake works for the older model). Unfortunately, I bought it for the iPad 3!! I was hesitant to purchase a case before the iPad 3 was released for just this reason, but I bought from this seller because they specifically said it would work with the new iPad. Bummer.",KB_00140,grounded_pick,True,G_016
REC_017,95508,B002PWHOYG,Electronics,train,will it position for a vertical shot?,yesno,1,"[{'text': 'Yes it will.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'it can take picture in at any angle...', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes, even upside down', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Absolutely.  The ball flips the camera on its side.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",Yes it will.,,,jeffreys,True,G_017
REC_018,126501,B003L75CUC,Electronics,train,I've got a nikond90 qith a 18-200 lens (72mm) will it fit?,yesno,0,"[{'text': ""Yes, it'll fit."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""I have a d90 with a 70/300 lens, and it fit, but I couldn't zoom more than a smidge. However, the case is hard to zoom with anyway, so I wasn't worried."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","Yes, it'll fit.",,,jeffreys,True,G_018
REC_019,49567,B000GPHQWO,Electronics,val,Does this lens fit on a Canon EOS Rebel T3i?,descriptive,1,"[{'text': 'Please visit http://www.sigmaphoto.com/about-sigma/contact-us   where you can find Technical Support 1-800-896-6858.I wish I could be more helpful, but I think it would be wise to contact Sigma Photo Technical Support.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""sure...make sure it's the lens for Canon"", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'This website should be able to help http://lenshero.com/lenses/macro-lens-for-canon-ef-by-sigma', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""I am positive that it will fit on Canon EOS Rebel T3i. This camera uses Canon EF Lenses. And this Sigma lens was designed with the same mount as the Canon's EF mounts. Just make sure you buy the one for Canon, and you should be fine."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Obviously, YES it does fit cause its name is Sigma lens for Canon', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes.  I have used it on a Canon 7D, and it works beautifully.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","Please visit http://www.sigmaphoto.com/about-sigma/contact-us   where you can find Technical Support 1-800-896-6858.I wish I could be more helpful, but I think it would be wise to contact Sigma Photo Technical Support.",,,jeffreys,True,G_019
REC_020,5441,B002TV5M5G,Electronics,val,I have an Edge 15 330M ..Is this the correct battery and is it made by Lenovo?,descriptive,1,"[{'text': 'yes it is', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'The Lenovo Edge 15 (amd and intel) has two systems batteries it uses - a 6 cell standard battery (lenovo p/n =  51j0499 25+) and a 9 cell extended life battery (lenovo p/n = 51j0500 battery 25++ , this is a larger battery and will stick out of the laptop top by a 1/4 in) . Happy shopping - Power UP LLC', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Hello - the 51j0499 6cell battery 25+ is for the lenovo edge 15 systems. I am not sure what ""330m"" means ?   All items that Liquid PC sells are genuine lenovo in the factory sealed lenovo retail packaging with current mfg dates.Liquid PC', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",yes it is,"My Lenovo accepted it without any problems, and the battery life is good.",KB_00207,grounded_pick,True,G_020
REC_021,16983,B003YLZ8J0,Electronics,val,Are there actually five programmable buttons? How are they programmed?,descriptive,1,"[{'text': ""Yes they're are 5 programmable buttons but I only programmed in for video games."", 'helpful': 0, 'unhelpful': 1, 'total': 1, 'jeffreys': 0.25}, {'text': 'not ACTUALLY programmable if i\'m not mistaken. the wired version (the one i have) has 5 buttons if you include l/r/m as buttons. the only two ""extra"" are on the left side for your thumb. most games bind actions to them without a problem however.', 'helpful': 0, 'unhelpful': 1, 'total': 1, 'jeffreys': 0.25}]",Yes they're are 5 programmable buttons but I only programmed in for video games.,The programmable buttons are backwards.,KB_00220,grounded_pick,True,G_021
REC_022,44154,B0083V5SZK,Electronics,val,"What are the 3 chargers i see 30 pin, is that usb mini? Whats the other?",descriptive,0,"[{'text': 'In addition to the 30 pin, it also has both a micro and a mini adapter.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'usb micro', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'It includes a 30-pin Apple connector, a Micro-USB and a Mini-USB.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","In addition to the 30 pin, it also has both a micro and a mini adapter.",I live in the UK and constantly travel to other parts of Eurasia where the electrical systems are different.,KB_00235,grounded_pick,True,G_022
